00 29 36.5;+18 26 35; 67;     570
23 53 29.8;+60 28 41;  0;     571
19 43 45.0;+83 37 31;  0;     572
23 13 46.8;+73 56 21;  8;     573
00 31 36.6;+17 56 33; 67;     574
23 21 54.4;+74 06 27;  8;     575
23 58 32.3;+62 16 42;  0;     576
00 01 33.9;+64 39 42;  0;     577
00 10 38.2;+58 46 41;  0;     578
20 32 50.6;+85 00 32;  0;     579
00 00 33.3;+67 26 42; 22;     580
00 01 34.0;+67 11 42; 22;     581
00 02 34.7;+67 16 42; 22;     582
00 02 34.7;+67 16 42; 22;     583
00 03 35.3;+66 56 42; 22;     584
00 06 37.2;+65 37 42;  0;     585
00 03 35.4;+67 26 42; 22;     586
00 02 34.7;+68 36 42; 22;     587
00 05 36.7;+67 06 42; 22;     588
00 03 35.5;+68 36 42; 22;     589
00 03 35.2;+65 36 42;  0;     590
00 20 43.2;+59 16 38;  0;     591
00 20 44.2;+61 46 38; 25;     592
00 22 45.3;+61 46 38; 25;     593
00 28 45.8;+56 41 35;  0;     594
00 29 46.3;+56 44 34;  0;     595
00 26 49.2;+64 36 36;  0;     596
00 31 47.4;+57 16 33;  0;     597
23 47 08.7;+80 56 40;  0;     598
00 33 47.8;+56 16 32;  0;     599
00 38 46.8;+50 16 29;  0;     600
03 45 08.6;+32 19 22;  0;     601
00 34 59.5;+69 26 31;  0;     602
00 42 49.2;+52 16 26; 32;     603
00 43 56.7;+61 56 25;  0;     604
00 45 52.6;+55 46 23; 31;     605
22 49 27.0;+88 46 02;  1;     606
00 46 54.7;+57 56 22; 32;     607
00 48 50.8;+51 16 21; 29;     608
00 48 50.6;+51 01 21; 29;     609
00 48 53.7;+55 36 21;  0;     610
00 48 55.0;+57 16 21; 32;     611
00 49 50.8;+50 41 20; 29;     612
00 49 50.8;+50 46 20; 29;     613
00 51 04.7;+65 16 19;  0;     614
00 51 55.6;+56 26 18; 31;     615
00 52 56.2;+56 36 17; 31;     616
01 07 04.3;+86 16 04;  1;     617
00 54 07.3;+65 46 16;  0;     618
00 53 44.1;+34 36 16;  0;     619
00 57 02.6;+61 06 13; 26;     620
00 56 57.8;+56 29 13;  0;     621
00 59 03.5;+60 56 11; 26;     622
00 59 03.5;+60 56 11; 26;     623
01 07 37.2;+73 31 01;  0;     624
01 01 04.7;+61 06 08; 26;     625
01 23 50.8;+73 15 39;  0;     626
11 05 21.3;+84 13 49;  2;     627
04 26 34.1;+85 57 10;  1;     628
10 55 33.4;+83 44 01;  2;     629
01 23 17.1;+61 50 39;  0;     630
03 58 30.6;+85 08 52;  1;     631
04 44 35.3;+85 05 54;  1;     632
01 30 14.5;+58 22 28;  0;     633
02 25 01.9;+75 23 34;  0;     634
02 28 43.6;+73 03 24;  9;     635
02 29 44.3;+73 03 22;  9;     636
01 44 15.8;+55 35 03;  0;     637
01 45 15.4;+55 05 01;  0;     638
01 15 40.1;+16 35 50; 68;     639
01 49 14.8;+53 44 54;  0;     640
02 11 42.5;+62 34 05; 28;     641
02 20 44.7;+61 53 44; 28;     642
02 51 29.5;+68 52 21;  0;     643
01 22 40.9;+17 15 40; 68;     644
02 25 47.1;+61 58 31; 28;     645
02 26 48.4;+62 13 28; 28;     646
02 27 48.3;+62 03 26; 28;     647
02 28 49.2;+62 13 23; 28;     648
02 21 39.6;+59 55 41;  0;     649
02 26 46.3;+61 33 28; 28;     650
03 35 29.6;+73 10 00;  0;     651
02 50 11.6;+65 32 24;  0;     652
02 16 27.2;+55 23 54;  0;     653
02 33 48.2;+61 13 10; 28;     654
02 33 47.7;+61 03 10; 28;     655
02 32 45.8;+60 33 13; 28;     656
02 32 45.6;+60 28 13; 28;     657
02 40 51.1;+61 12 51; 28;     658
02 36 44.8;+59 38 02;  0;     659
02 47 56.4;+61 56 30; 28;     660
02 47 56.4;+61 55 30; 28;     661
02 47 56.2;+61 52 30; 28;     662
02 39 45.8;+59 34 53;  0;     663
02 50 58.6;+62 12 22; 28;     664
02 41 46.5;+59 33 48;  0;     665
02 21 20.1;+50 33 42; 49;     666
02 50 52.1;+60 17 22; 27;     667
02 21 19.8;+50 23 42; 49;     668
02 49 49.9;+59 42 25; 27;     669
02 50 51.1;+59 57 22; 27;     670
02 22 19.8;+50 13 39; 49;     671
02 53 53.0;+60 12 13; 27;     672
02 55 54.8;+60 32 07; 27;     673
03 11 08.7;+62 46 20;  0;     674
03 02 57.0;+60 25 45; 27;     675
03 15 02.8;+60 51 07; 27;     676
03 13 58.3;+59 41 10; 27;     677
03 24 08.4;+61 30 37;  0;     678
03 06 46.9;+56 41 33;  0;     679
03 15 50.8;+57 06 04;  0;     680
03 30 04.0;+59 50 17; 27;     681
03 29 00.2;+58 50 20; 27;     682
09 14 42.6;+70 47 34;  0;     683
03 32 00.0;+58 30 10; 27;     684
03 19 45.2;+54 40 51; 33;     685
03 17 43.0;+54 02 58; 33;     686
05 27 13.3;+67 32 34; 21;     687
02 04 46.3;+20 14 20; 65;     688
03 55 02.0;+57 18 47;  0;     689
05 35 06.4;+66 32 00; 21;     690
09 37 02.0;+65 46 32;  0;     691
08 56 28.6;+67 03 30; 19;     692
05 36 56.2;+65 01 51; 21;     693
02 36 59.9;+32 03 00;  0;     694
09 02 23.5;+66 38 11; 19;     695
03 52 49.4;+53 18 55; 30;     696
04 15 05.0;+56 52 31;  0;     697
06 37 09.2;+66 57 29; 20;     698
05 37 49.0;+63 51 47; 21;     699
05 46 52.5;+64 21 08; 21;     700
03 58 49.7;+52 58 33; 30;     701
06 45 03.4;+66 16 55; 20;     702
02 17 46.7;+19 13 50; 65;     703
04 02 46.0;+51 19 18; 51;     704
04 03 46.1;+51 18 14; 51;     705
04 03 45.3;+50 58 14; 51;     706
02 23 47.6;+19 43 35; 65;     707
04 19 53.9;+53 07 12;  0;     708
04 03 43.2;+50 08 14;  0;     709
04 10 47.1;+51 12 47;  0;     710
02 28 47.9;+19 33 22; 65;     711
04 29 54.0;+52 36 32;  0;     712
03 45 27.3;+44 09 21; 53;     713
03 45 26.1;+43 29 21; 53;     714
02 20 42.4;+12 53 43;  0;     715
03 26 12.6;+36 50 29; 54;     716
04 36 50.1;+50 51 03;  0;     717
03 31 14.5;+37 40 11; 54;     718
03 31 14.4;+37 35 11; 54;     719
03 34 15.1;+37 50 01; 54;     720
03 35 15.5;+37 59 57; 54;     721
04 40 49.4;+50 25 47;  0;     722
08 07 18.6;+61 21 20; 23;     723
04 03 29.7;+43 58 14;  0;     724
03 11 01.7;+29 41 19; 61;     725
03 13 02.5;+30 11 12; 61;     726
08 06 15.3;+60 31 23; 23;     727
08 27 08.6;+60 20 07;  0;     728
08 22 09.8;+60 15 25;  0;     729
02 26 41.9;+11 43 27;  0;     730
04 20 33.9;+44 57 08;  0;     731
08 08 12.7;+60 01 16; 23;     732
08 07 11.7;+59 41 20; 23;     733
03 26 05.7;+31 40 29;  0;     734
04 21 32.8;+44 22 04;  0;     735
04 03 23.5;+40 38 15;  0;     736
04 48 45.5;+48 33 14;  0;     737
03 48 15.2;+36 39 11; 54;     738
05 07 52.0;+50 19 54;  0;     739
03 27 04.9;+30 54 25;  0;     740
03 29 05.7;+31 23 18;  0;     741
04 44 40.7;+46 45 31; 35;     742
02 55 50.6;+20 12 06; 66;     743
04 45 40.8;+46 45 27; 35;     744
04 58 45.1;+48 00 32;  0;     745
03 29 03.8;+29 50 19;  0;     746
04 55 43.3;+47 23 45;  0;     747
03 51 13.8;+35 29 00; 54;     748
03 39 07.8;+32 09 43; 62;     749
05 49 00.7;+52 30 57; 34;     750
05 43 59.0;+52 01 19; 34;     751
04 01 17.2;+36 58 22; 54;     752
02 55 48.8;+18 12 06; 66;     753
04 55 40.9;+46 24 45;  0;     754
04 51 39.0;+45 45 02;  0;     755
04 01 16.6;+36 38 22; 54;     756
03 52 11.9;+34 08 56; 54;     757
03 44 08.3;+32 08 26; 62;     758
05 05 41.3;+46 14 03;  0;     759
06 06 59.7;+52 09 38;  0;     760
03 39 04.0;+29 09 44;  0;     761
02 59 48.2;+17 11 54; 66;     762
03 12 51.5;+19 51 12;  0;     763
05 58 52.4;+49 40 13; 50;     764
05 58 50.6;+49 00 13; 50;     765
04 31 17.6;+35 26 25;  0;     766
04 31 17.6;+35 26 25;  0;     767
05 17 32.8;+42 03 12;  0;     768
05 27 35.4;+43 02 29;  0;     769
03 45 58.5;+24 09 19; 64;     770
03 45 58.5;+24 09 19; 64;     771
03 45 58.5;+24 09 19; 64;     772
03 42 56.6;+22 39 30; 64;     773
03 55 00.8;+25 28 45; 64;     774
04 03 02.8;+26 38 15; 64;     775
03 52 59.0;+24 08 53; 64;     776
04 05 02.6;+26 23 08; 64;     777
05 26 30.2;+40 32 33;  0;     778
04 01 00.8;+25 08 23; 64;     779
05 11 24.7;+38 01 38;  0;     780
05 19 26.7;+38 53 04;  0;     781
04 19 06.0;+28 12 13;  0;     782
05 13 23.6;+37 23 30;116;     783
05 13 23.6;+37 23 30;116;     784
04 22 06.5;+28 27 01;  0;     785
04 13 02.2;+25 37 37; 64;     786
05 23 22.5;+36 32 47; 57;     787
04 27 03.7;+26 05 41; 64;     788
05 38 24.8;+37 31 42;  0;     789
07 57 37.0;+47 11 55;  0;     790
05 14 17.9;+34 03 26; 57;     791
04 48 10.0;+29 47 16;  0;     792
04 31 04.6;+26 36 25; 64;     793
05 25 20.8;+35 32 38; 57;     794
05 17 18.6;+34 23 13; 57;     795
05 18 18.0;+34 03 08; 57;     796
05 35 22.3;+36 11 55;  0;     797
04 59 11.7;+30 33 29;  0;     798
04 23 00.2;+23 36 58; 64;     799
04 28 01.8;+24 36 38; 64;     800
08 05 34.0;+46 21 25;  0;     801
05 38 21.8;+35 51 42;  0;     802
05 39 21.8;+35 51 37;  0;     803
05 28 18.9;+34 22 25; 57;     804
05 42 22.4;+36 11 24;  0;     805
04 38 04.4;+26 10 57; 64;     806
05 22 17.1;+33 22 51; 57;     807
05 41 21.8;+35 51 29;  0;     808
05 07 12.4;+30 49 56;  0;     809
05 31 18.7;+34 12 12;  0;     810
07 58 33.3;+45 31 51;  0;     811
04 32 01.6;+24 19 21; 64;     812
04 40 03.9;+25 44 49; 64;     813
04 26 59.6;+22 56 42; 64;     814
04 36 01.7;+24 14 05; 64;     815
04 32 59.9;+22 56 17; 64;     816
04 21 55.3;+19 37 02;  0;     817
05 39 13.2;+30 41 38;  0;     818
04 27 54.5;+18 46 38; 69;     819
02 49 30.7;-03 47 36;  0;     820
04 30 53.8;+18 06 26; 69;     821
05 39 09.1;+28 01 38;  0;     822
06 04 13.1;+30 29 49;  0;     823
06 04 12.7;+30 14 49; 59;     824
06 04 12.6;+30 09 49; 59;     825
05 51 07.8;+27 00 46;  0;     826
05 52 07.8;+27 00 41;  0;     827
04 13 44.4;+10 12 34;  0;     828
03 59 40.4;+06 38 27; 79;     829
05 39 02.4;+23 21 38;  0;     830
04 15 42.9;+08 47 26; 80;     831
04 15 42.9;+08 47 26; 80;     832
05 35 00.6;+22 01 56;  0;     833
04 15 42.2;+08 07 26;  0;     834
03 59 38.7;+04 58 27; 79;     835
04 01 37.5;+03 48 20; 79;     836
05 40 58.4;+20 20 30;  0;     837
05 01 49.9;+14 04 18;  0;     838
04 02 36.9;+03 08 16; 79;     839
06 19 02.4;+23 16 43; 63;     840
06 21 02.7;+23 28 35; 63;     841
04 32 41.4;+07 06 18; 90;     842
06 09 00.2;+21 35 27;  0;     843
06 17 01.3;+22 28 52;  0;     844
06 23 02.0;+22 58 26;  0;     845
04 39 41.7;+07 15 50; 91;     846
04 40 41.9;+07 25 45; 91;     847
05 14 48.8;+13 01 22; 73;     848
04 32 40.1;+05 56 18; 90;     849
05 17 49.3;+13 23 09; 73;     850
05 17 49.3;+13 23 09; 73;     851
04 33 40.1;+05 56 14; 90;     852
04 00 33.8;+00 08 24; 79;     853
06 09 58.7;+20 29 23;  0;     854
06 07 56.3;+18 41 32;  0;     855
03 12 25.6;-09 13 47;  0;     856
05 21 47.0;+11 22 52; 73;     857
06 11 55.5;+18 01 14;  0;     858
06 12 55.4;+17 59 10;  0;     859
04 55 39.8;+05 24 43;  0;     860
03 59 29.8;-03 51 32; 79;     861
06 08 52.7;+15 49 27; 71;     862
06 08 52.6;+15 46 27; 71;     863
06 08 52.5;+15 39 27; 71;     864
05 32 45.4;+10 02 05; 73;     865
05 21 43.4;+08 22 52; 73;     866
05 21 43.4;+08 22 52; 73;     867
05 06 40.6;+06 03 57;  0;     868
05 18 42.7;+07 48 05; 73;     869
03 28 25.0;-09 19 40;  0;     870
05 18 41.9;+07 08 05; 73;     871
05 17 41.7;+06 58 10; 73;     872
06 09 50.6;+14 09 23; 78;     873
06 10 50.1;+13 44 19; 78;     874
06 15 50.7;+14 16 57;  0;     875
06 14 50.2;+13 50 01;  0;     876
06 09 48.9;+12 49 23;  0;     877
05 44 44.5;+09 11 13; 73;     878
05 45 44.3;+09 03 08; 73;     879
05 19 39.2;+04 46 01; 73;     880
05 22 39.5;+05 02 48; 73;     881
05 20 39.1;+04 42 57; 73;     882
05 17 38.5;+04 13 10; 73;     883
05 19 38.6;+04 13 01; 73;     884
05 30 39.4;+04 52 14; 73;     885
05 30 39.1;+04 40 14; 73;     886
06 26 47.8;+11 58 09;  0;     887
05 28 38.2;+03 52 22; 73;     888
06 30 48.2;+12 17 52;  0;     889
05 22 37.0;+02 52 48; 73;     890
07 11 53.0;+16 44 57;  0;     891
05 30 37.8;+03 32 14; 73;     892
04 32 28.4;-04 53 41;  0;     893
05 38 38.6;+04 11 39; 73;     894
06 30 46.6;+10 57 52;  0;     895
04 27 27.0;-06 13 21;  0;     896
04 31 27.5;-05 43 37;  0;     897
06 30 46.0;+10 26 52;  0;     898
06 36 46.5;+10 57 26; 77;     899
04 34 27.3;-05 49 49;  0;     900
06 32 45.8;+10 20 43;  0;     901
06 36 46.3;+10 47 26; 77;     902
06 30 45.5;+10 00 52;  0;     903
06 32 45.6;+10 09 43;  0;     904
05 50 39.0;+04 30 47; 73;     905
04 41 27.7;-05 24 18;  0;     906
05 13 32.1;-01 26 33; 73;     907
06 00 39.6;+05 00 03; 73;     908
04 40 26.9;-06 09 14;  0;     909
05 10 31.3;-02 06 20; 73;     910
06 40 45.3;+09 54 09; 76;     911
06 40 45.0;+09 42 09; 76;     912
05 33 32.9;-00 39 59; 73;     913
05 34 33.2;-00 28 03; 73;     914
05 15 31.3;-02 06 41; 73;     915
05 06 29.9;-03 21 03; 73;     916
04 47 27.1;-05 54 43; 73;     917
05 32 33.8;+00 02 05; 73;     918
05 19 31.7;-01 46 58; 73;     919
06 38 43.9;+08 43 17;  0;     920
05 36 33.3;-00 23 12; 73;     921
06 40 44.1;+08 57 09;  0;     922
05 04 29.2;-03 55 54; 73;     923
05 40 32.9;-00 43 29; 73;     924
05 40 33.0;-00 38 29; 73;     925
06 51 45.3;+09 59 21;  0;     926
05 40 33.1;-00 34 29; 73;     927
05 38 33.6;-00 08 21; 73;     928
06 37 43.0;+07 57 22; 74;     929
06 33 42.2;+07 17 39; 75;     930
06 33 42.2;+07 17 39; 75;     931
06 31 41.8;+06 57 48; 74;     932
05 47 34.9;+01 01 00; 73;     933
05 47 34.9;+01 01 00; 73;     934
05 34 32.4;-01 08 03; 73;     935
06 33 41.4;+06 37 39; 74;     936
05 18 29.8;-03 26 54; 73;     937
05 47 34.0;+00 13 00; 73;     938
05 46 33.7;+00 01 04; 73;     939
05 34 31.8;-01 38 03; 73;     940
06 31 40.6;+05 52 48; 74;     941
05 20 29.4;-03 47 03; 73;     942
06 33 40.3;+05 37 39; 74;     943
05 40 32.0;-01 31 29; 73;     944
05 15 28.0;-04 56 41; 73;     945
05 41 31.9;-01 33 34; 73;     946
06 44 41.4;+06 36 52; 74;     947
06 32 39.5;+04 57 43; 74;     948
06 32 39.5;+04 57 43; 74;     949
05 37 31.0;-02 18 16; 73;     950
06 36 39.7;+05 07 26; 74;     951
06 40 40.0;+05 27 09; 74;     952
05 41 31.0;-02 18 34; 73;     953
05 41 31.0;-02 18 34; 73;     954
05 54 32.6;-00 59 31; 73;     955
05 20 27.4;-05 27 03; 73;     956
05 21 27.4;-05 27 07; 73;     957
05 39 30.1;-03 08 25; 73;     958
05 02 24.7;-07 55 46; 73;     959
05 19 26.9;-05 56 58; 73;     960
05 23 27.4;-05 27 16; 73;     961
05 41 30.1;-03 08 34; 73;     962
05 32 28.5;-04 27 55;  0;     963
05 22 27.0;-05 47 11; 73;     964
05 39 29.5;-03 38 25; 73;     965
05 55 31.8;-01 39 35; 73;     966
05 39 29.1;-03 58 25; 73;     967
05 01 23.6;-08 55 41; 73;     968
05 24 26.6;-06 07 20; 73;     969
06 34 36.8;+02 37 35; 85;     970
06 34 36.8;+02 37 35; 85;     971
06 34 36.8;+02 37 35; 85;     972
06 34 36.8;+02 37 35; 85;     973
05 35 27.4;-05 28 07; 73;     974
04 59 22.4;-09 55 33; 73;     975
05 57 30.2;-02 59 44; 73;     976
05 37 26.8;-05 58 16; 73;     977
06 38 35.6;+01 37 18;  0;     978
05 36 25.9;-06 44 12; 73;     979
05 06 21.2;-10 56 02; 73;     980
04 35 17.7;-14 23 53;  0;     981
05 53 27.3;-05 29 26; 73;     982
06 43 34.3;+00 26 56; 84;     983
06 44 34.1;+00 16 52; 84;     984
05 56 26.9;-05 49 39; 73;     985
06 45 34.1;+00 16 48; 84;     986
06 44 33.9;+00 06 52; 84;     987
05 52 26.1;-06 29 22; 73;     988
05 47 25.2;-07 19 00; 73;     989
06 08 27.5;-05 18 32; 73;     990
05 11 19.3;-12 26 24; 73;     991
05 40 22.7;-09 23 29; 73;     992
06 08 26.5;-06 12 32; 73;     993
06 07 26.3;-06 23 27; 73;     994
06 08 26.3;-06 20 32; 73;     995
06 10 26.5;-06 10 40; 73;     996
06 10 26.5;-06 12 40; 73;     997
06 09 26.3;-06 20 36; 73;     998
06 08 26.1;-06 30 32; 73;     999
06 11 26.6;-06 08 45; 73;    1000
05 32 20.9;-10 57 54; 73;    1001
05 38 21.6;-10 18 20; 73;    1002
06 14 26.4;-06 15 58;  0;    1003
06 15 26.4;-06 18 02;  0;    1004
05 30 19.7;-11 57 46; 73;    1005
05 33 19.3;-12 17 59; 73;    1006
05 39 19.8;-11 48 25; 73;    1007
06 04 22.3;-09 45 14; 94;    1008
05 44 19.0;-12 28 46; 73;    1009
05 42 18.4;-12 58 38; 73;    1010
06 05 20.7;-11 00 18; 94;    1011
06 59 28.4;-04 44 12;  0;    1012
07 08 29.0;-04 14 50;  0;    1013
06 46 25.3;-07 20 16;  0;    1014
06 30 22.5;-09 38 07;  0;    1015
05 58 17.5;-13 39 47; 93;    1016
06 25 21.4;-10 33 46;  0;    1017
06 14 19.5;-12 00 57; 94;    1018
05 58 16.9;-14 09 47; 93;    1019
06 55 24.8;-07 53 55;  0;    1020
06 59 25.0;-07 44 12;  0;    1021
06 56 24.4;-08 13 59;  0;    1022
07 00 23.7;-08 51 16;  0;    1023
07 10 24.9;-07 54 58;  0;    1024
06 05 14.6;-16 00 18;  0;    1025
07 16 24.0;-08 45 23;  0;    1026
07 04 22.0;-10 24 33; 95;    1027
07 16 23.7;-09 05 23; 96;    1028
07 21 24.5;-08 25 44;  0;    1029
07 02 21.0;-11 14 24; 95;    1030
07 24 24.5;-08 25 56;  0;    1031
07 16 23.2;-09 30 23; 96;    1032
07 06 21.2;-11 04 41; 95;    1033
07 10 21.9;-10 34 58; 95;    1034
07 03 20.7;-11 29 29; 95;    1035
07 16 22.0;-10 35 23; 95;    1036
07 05 20.0;-12 04 37; 95;    1037
07 08 20.4;-11 49 50; 95;    1038
07 05 19.8;-12 15 37; 95;    1039
07 18 19.1;-13 05 31; 97;    1040
07 18 19.1;-13 07 31; 97;    1041
07 05 14.9;-16 24 37;  0;    1042
07 09 12.5;-18 24 53;116;    1043
07 10 12.5;-18 27 58;116;    1044
07 25 15.2;-16 36 00;  0;    1045
07 32 15.0;-17 00 28;  0;    1046
06 55 06.6;-22 43 54;  0;    1047
07 30 13.0;-18 35 20;  0;    1048
06 45 04.5;-24 03 11;  0;    1049
07 30 12.3;-19 09 20;  0;    1050
07 35 13.0;-18 46 40;  0;    1051
06 54 05.2;-23 43 50;  0;    1052
07 32 12.0;-19 28 28;  0;    1053
07 19 08.4;-21 55 35;112;    1054
07 10 06.6;-23 04 57;  0;    1055
07 05 04.9;-24 14 36;  0;    1056
07 29 08.6;-22 06 16;  0;    1057
07 20 05.8;-23 59 39;112;    1058
07 23 05.8;-24 05 51;112;    1059
07 27 05.3;-24 36 08;112;    1060
07 33 06.5;-23 56 32;  0;    1061
07 36 04.9;-25 16 44;  0;    1062
07 26 00.6;-28 06 03;117;    1063
07 24 59.1;-29 05 59;117;    1064
07 52 04.4;-26 27 47;107;    1065
07 52 04.4;-26 27 47;107;    1066
07 53 04.5;-26 27 51;107;    1067
07 17 56.1;-30 50 30;  0;    1068
09 49 29.2;-07 14 01;  0;    1069
07 25 56.0;-31 16 03;  0;    1070
08 40 12.7;-22 20 41;113;    1071
07 44 56.1;-32 07 19;  0;    1072
08 40 10.2;-24 40 41;113;    1073
08 44 11.1;-24 10 55;113;    1074
08 47 11.5;-24 01 04;113;    1075
08 50 10.9;-24 51 14;113;    1076
08 57 11.2;-25 11 37;113;    1077
09 00 10.5;-26 11 46;113;    1078
08 50 07.0;-28 31 14;113;    1079
08 53 07.5;-28 21 24;113;    1080
08 54 07.8;-28 11 27;113;    1081
09 07 08.7;-28 42 07;113;    1082
09 12 09.8;-28 12 22;113;    1083
09 07 06.5;-30 42 07;  0;    1084
09 25 11.4;-28 02 59;113;    1085
09 16 07.2;-31 12 34;  0;    1086
09 25 09.9;-29 42 59;  0;    1087
09 30 09.1;-31 13 13;  0;    1088
09 57 14.6;-29 14 19;  0;    1089
10 01 12.8;-32 14 28;  0;    1090
15 19 02.8;-29 50 53;  0;    1091
15 53 01.3;-25 58 53;110;    1092
15 56 01.5;-25 58 42;110;    1093
16 00 02.4;-26 28 27;110;    1094
16 00 01.4;-25 38 27;110;    1095
16 12 05.2;-27 55 41;  0;    1096
15 52 58.3;-23 28 53;111;    1097
15 54 58.2;-23 18 46;111;    1098
16 00 58.4;-23 08 23;111;    1099
16 29 06.8;-28 16 33;114;    1100
16 20 02.7;-25 37 09;115;    1101
16 30 05.9;-27 36 29;114;    1102
16 33 06.8;-28 06 17;114;    1103
16 21 02.7;-25 37 06;115;    1104
16 20 02.2;-25 17 09;115;    1105
16 21 02.3;-25 17 06;115;    1106
16 29 04.5;-26 36 34;114;    1107
16 29 04.3;-26 26 34;114;    1108
16 26 01.5;-24 26 46;114;    1109
16 31 02.6;-25 06 26;114;    1110
16 26 00.2;-23 26 46;114;    1111
16 26 00.2;-23 26 46;114;    1112
16 12 54.5;-19 17 37;104;    1113
16 14 54.6;-19 17 29;104;    1114
16 20 55.9;-20 07 06;104;    1115
17 33 15.5;-32 12 04;109;    1116
17 36 15.8;-32 21 51;109;    1117
16 48 02.5;-24 25 16;114;    1118
16 25 55.5;-19 36 46;104;    1119
17 49 14.4;-31 20 54;108;    1120
17 50 14.4;-31 20 50;108;    1121
15 40 40.6;-07 09 37;  0;    1122
16 36 54.7;-18 36 01;104;    1123
17 46 11.3;-29 21 07;  0;    1124
17 47 11.1;-29 13 03;  0;    1125
]]></CSV></DATA>
</TABLE>
<INFO name="matches" value="1125">matching records</INFO>

<INFO name="Warning" value="No center provided++++"/>
<INFO name="Warning" value="vc_coo can't change epoch"/>
<INFO name="Warning" value="increase the precision for computed column 4"/>
<INFO name="Warning" value="increase the precision for computed column 4"/>
</RESOURCE>
</VOTABLE>
